
n          ABB           AVL          Heapsort     
---------------------------------------------------
100     0.000040     0.000047     0.000011
200     0.000048     0.000071     0.000025
300     0.000198     0.000269     0.000040
400     0.000203     0.001190     0.000105
500     0.000089     0.000159     0.000075
600     0.000953     0.000179     0.000092
700     0.000112     0.000218     0.000108
800     0.000117     0.002341     0.000183
900     0.000292     0.000521     0.000338
1000     0.000219     0.000378     0.000167
